Database Name,Year,Month,Sessions,Searches,Total Full Text,PDF Full Text,HTML Full Text,Image/Video,Abstract,Smart Link To,Smart Link From,Custom Link
Academic Search Premier,2015,June,32182,32071,159,37,122,0,197,0,6,0
Biography Reference Bank (H.W. Wilson),2015,June,26,42,1,0,1,0,0,1,0,0
Biography Reference Bank Image Collection,2015,June,25,41,0,0,0,0,0,0,0,0
Biography Reference Center,2015,June,1,2,0,0,0,0,1,0,0,0
Book Collection Nonfiction: Elementary School Edition,2015,June,26,46,0,0,0,0,0,0,0,0
Book Collection Nonfiction: High School Edition,2015,June,25,42,0,0,0,0,0,0,0,0
Book Collection Nonfiction: Middle School Edition,2015,June,25,42,0,0,0,0,0,0,0,0
Book Index with Reviews,2015,June,3920,11352,0,0,0,0,0,0,0,0
Connecticut Digital Collections,2015,June,25,42,0,0,0,0,0,0,0,0
ERIC,2015,June,25,42,0,0,0,0,0,0,0,0
GreenFILE,2015,June,25,42,0,0,0,0,0,0,0,0
Hartford Courant Historical (1764 - 1922),2015,June,24,38,0,0,0,0,0,0,0,0
History Reference Center,2015,June,25,42,2,0,2,0,0,0,0,0
iCONN eAudio & eBooks,2015,June,25,42,0,0,0,0,0,0,0,0
Image Collection,2015,June,31,62,0,0,0,0,0,0,0,0
Legal Information Reference Center,2015,June,25,42,0,0,0,0,0,0,0,0
MainFile,2015,June,25,42,5,5,0,0,6,0,0,0
MAS Ultra - School Edition,2015,June,25,42,0,0,0,0,0,0,0,0
MasterFILE Premier,2015,June,27,42,4,1,3,0,2,2,0,0
Middle Search Plus,2015,June,25,42,0,0,0,0,0,0,0,0
National Newspapers Core,2015,June,24,38,0,0,0,0,0,0,0,0
Newspaper Source Plus,2015,June,26,52,1,0,1,0,0,0,0,0
Newswires,2015,June,26,49,0,0,0,0,0,0,0,0
Novelist Plus,2015,June,6730,16519,0,0,0,0,216,0,0,0
Primary Search,2015,June,26,46,1,0,1,0,1,0,0,0
Professional Development Collection,2015,June,25,42,0,0,0,0,0,0,0,0
"ProQuest: Hartford Courant, The",2015,June,24,38,0,0,0,0,0,0,0,0
Referencia Latina,2015,June,25,42,0,0,0,0,0,0,0,0
Science Image Collection,2015,June,26,44,0,0,0,0,0,0,0,0
Science Reference Center,2015,June,26,44,0,0,0,0,0,0,0,0
Science Video Collection,2015,June,26,46,0,0,0,0,0,0,0,0
Teacher Reference Center,2015,June,25,42,0,0,0,0,0,0,0,0
TOPICsearch,2015,June,25,42,0,0,0,0,0,0,0,0
Video Encyclopedia of the 20th Century,2015,June,25,41,0,0,0,0,0,0,0,0
World History Image Collection,2015,June,25,42,0,0,0,0,0,0,0,0
Totals, , ,43621,61285,173,43,130,0,423,3,6,0
